Essay,Jurusan
saya suka lihat alat berat dan ingin membawanya,SMK Teknologi dan Rekayasa
saya ingin punya bengkel motor sendiri,SMK Teknologi dan Rekayasa
saya mau bisa perbaiki motor sendiri,SMK Teknologi dan Rekayasa
saya suka dengan kendaraan kecil seperti kendaraan pribadi,SMK Teknologi dan Rekayasa
saya ingin mengotak atik kendaraan,SMK Teknologi dan Rekayasa
saya suka dengan bagian dalam kapal yang indah suatu saat saya juga ingin bisa merancangnya sendiri,SMK Teknologi dan Rekayasa
saya ingin tau cara merancang ruangan yang ada di kapal,SMK Teknologi dan Rekayasa
saya ingin membuat kapal yang kuat dan cepat,SMK Teknologi dan Rekayasa
saya ingin bisa buat kapal yang tahan dari tsunami,SMK Teknologi dan Rekayasa
saya mau buat kapal,SMK Teknologi dan Rekayasa
saya penasaran bagaimana jaringan listrik pada kapal,SMK Teknologi dan Rekayasa
saya ingin lampu di kapal tetap menyala tanpa masalah,SMK Teknologi dan Rekayasa
saya ingin mengelas kapal yang kokoh,SMK Teknologi dan Rekayasa
saya suka lihat mesin kapal yang besar,SMK Teknologi dan Rekayasa
saya mau belajar tentang cara membuat mesin pada kapal,SMK Teknologi dan Rekayasa
saya tertarik dengan cara kerja mesin kapal,SMK Teknologi dan Rekayasa
saya mau buat kapal yang bahan nya bukan dari baja,SMK Teknologi dan Rekayasa
saya ingin tau cara buat kapal selain menggunakan baja,SMK Teknologi dan Rekayasa
saya ingin membuat kapal yang besar dari baja,SMK Teknologi dan Rekayasa
saya ingin kapal yang tahan lama menggunakan bahan baja yang tahan lama juga,SMK Teknologi dan Rekayasa
saya ingin membuat alat yang berfungsi di rumah sakit,SMK Teknologi dan Rekayasa
saya ingin membuat mesin canggih untuk pasien yang sakitnya langka,SMK Teknologi dan Rekayasa
saya tertarik dengan alat komunikasi dengan jaringan listrik,SMK Teknologi dan Rekayasa
saya ingin membuat mesin yang mempermudah pekerjaan,SMK Teknologi dan Rekayasa
saya ingin tau sistem elektronik pada pabrik,SMK Teknologi dan Rekayasa
saya mau belajar perbaiki alat pemutar musik dan video,SMK Teknologi dan Rekayasa
saya ingin buat layar dan speaker yang bagus,SMK Teknologi dan Rekayasa
Aku suka mengotak atik elektronik ,SMK Teknologi dan Rekayasa
Gua seneng sama mesin mobil dan ga suka sama belajar seni ,SMK Teknologi dan Rekayasa
gua mau belajar ngelas besi untuk kapal ,SMK Teknologi dan Rekayasa
"Aku suka banget ngotak-ngatik mesin, apalagi kalo ada proyek praktek",SMK Teknologi dan Rekayasa
"Kalau pelajaran fisika, aku sih semangat banget, apalagi soal listrik",SMK Teknologi dan Rekayasa
"Mesin-mesin itu seru, aku suka banget belajar cara kerja mesin-mesin",SMK Teknologi dan Rekayasa
"Saya tertarik banget sama teknologi, pengen deh bisa bikin robot sendiri suatu hari nanti",SMK Teknologi dan Rekayasa
Gue lebih suka belajar teknik listrik daripada ngafalin sejarah,SMK Teknologi dan Rekayasa
"Rakit komputer itu asik banget, pengen jago rakit PC sendiri",SMK Teknologi dan Rekayasa
"Aku tertarik banget sama robotik, pengen belajar lebih dalam",SMK Teknologi dan Rekayasa
"Kalau disuruh pilih, aku lebih suka praktek listrik daripada teori-teori lainnya",SMK Teknologi dan Rekayasa
Aku seneng banget kalo udah belajar tentang mekanik mesin,SMK Teknologi dan Rekayasa
"Teknik otomotif seru, gue pengen ngerti lebih banyak tentang mesin mobil",SMK Teknologi dan Rekayasa
"Belajar teknik komputer tuh bikin gue semangat banget, daripada belajar hafalan",SMK Teknologi dan Rekayasa
"ku suka pelajaran teknologi, apalagi yang banyak praktek kayak elektronika",SMK Teknologi dan Rekayasa
"Kalau fisika soal mekanika, gue malah bisa nangkep banget",SMK Teknologi dan Rekayasa
"Gue tertarik sama jaringan komputer, pengen ngerti cara bikin server sendiri",SMK Teknologi dan Rekayasa
"Kalo belajar tentang motor dan mobil, gue betah banget deh di kelas",SMK Teknologi dan Rekayasa
Aku suka banget ngulik-ngulik software sama hardware komputer,SMK Teknologi dan Rekayasa
"Aku pengen banget belajar teknik gambar, biar bisa bikin rancangan bangunan",SMK Teknologi dan Rekayasa
"Praktek teknik bikin gue jadi lebih ngerti pelajaran, jadi pengen belajar lebih banyak",SMK Teknologi dan Rekayasa
"Gue tertarik banget sama teknologi robot, pengen bisa buat robot sendiri",SMK Teknologi dan Rekayasa
"Aku suka kalau ada proyek tentang perakitan alat-alat, seru banget",SMK Teknologi dan Rekayasa
Pelajaran elektronika bikin gue penasaran buat ngulik-ngulik alat listrik,SMK Teknologi dan Rekayasa
"Aku tertarik banget sama mesin motor, pengen tahu gimana cara ngerakitnya",SMK Teknologi dan Rekayasa
"Belajar teknik listrik seru, rasanya kayak jadi ilmuwan",SMK Teknologi dan Rekayasa
Aku suka banget kalo ada praktek tentang sistem komputer,SMK Teknologi dan Rekayasa
"Ngoprek mesin itu hobi gue, makanya teknik otomotif cocok banget",SMK Teknologi dan Rekayasa
"Aku suka belajar sistem jaringan komputer, pengen banget jadi ahli jaringan",SMK Teknologi dan Rekayasa
Aku lebih suka belajar perakitan daripada teori hafalan,SMK Teknologi dan Rekayasa
"Mesin mobil itu bikin penasaran, aku pengen belajar lebih dalam soal ini",SMK Teknologi dan Rekayasa
"Aku senang belajar robotik, pengen banget bikin robot sendiri suatu hari",SMK Teknologi dan Rekayasa
"Aku suka banget pelajaran elektronika, seru aja ngerakit komponen dan lihat hasilnya bisa jalan",SMK Teknologi dan Rekayasa
"Kalau udah belajar tentang mesin, langsung semangat banget",SMK Teknologi dan Rekayasa
"Aku tertarik banget belajar sistem kontrol mesin, keren banget ilmunya",SMK Teknologi dan Rekayasa
Pelajaran mekanika bikin aku pengen tau lebih dalam soal teknologi,SMK Teknologi dan Rekayasa
Ngoprek komputer di kelas teknisi itu seru banget,SMK Teknologi dan Rekayasa
"Aku pengen banget jago di bidang teknik listrik, soalnya seru banget",SMK Teknologi dan Rekayasa
"Gue seneng banget kalau belajar alat-alat mekanik, cocok buat teknik mesin",SMK Teknologi dan Rekayasa
Aku penasaran banget sama teknologi jaringan internet,SMK Teknologi dan Rekayasa
"Aku suka banget proyek robotik, pengen jadi pembuat robot",SMK Teknologi dan Rekayasa
"Kalau udah ngomongin software sama hardware, aku betah lama-lama",SMK Teknologi dan Rekayasa
Aku suka ngeliat alat-alat elektronik dibongkar pas praktek,SMK Teknologi dan Rekayasa
"Gue demen banget utak-atik mesin, rasanya asik aja bisa bikin barang jadi lebih berguna",SMK Teknologi dan Rekayasa
"Gue suka banget belajar otomotif, pengen ngerti mesin mobil lebih dalam",SMK Teknologi dan Rekayasa
Pelajaran teknik bikin gue pengen belajar lebih jauh soal teknologi,SMK Teknologi dan Rekayasa
Aku lebih suka belajar listrik daripada pelajaran teori hafalan,SMK Teknologi dan Rekayasa
"Kalo ada praktek ngoprek mesin, gue sih semangat banget",SMK Teknologi dan Rekayasa
"Aku pengen banget bisa rakit komputer sendiri, seru banget",SMK Teknologi dan Rekayasa
Belajar sistem kelistrikan tuh bikin penasaran,SMK Teknologi dan Rekayasa
"Aku suka banget belajar pemrograman komputer, bikin program sendiri itu asik",SMK Teknologi dan Rekayasa
Gue suka banget kalau belajar tentang teknik mekanik dan mesin,SMK Teknologi dan Rekayasa
"Aku tertarik banget sama rekayasa mesin, pengen banget mendalaminya",SMK Teknologi dan Rekayasa
"Kalau lagi belajar teknik gambar mesin, aku betah banget di kelas",SMK Teknologi dan Rekayasa
"Aku pengen bisa ahli di bidang kelistrikan, pengen ngerti sistem kabel listrik",SMK Teknologi dan Rekayasa
"Ngoprek sistem komputer bikin gue semangat, cocok buat teknik komputer",SMK Teknologi dan Rekayasa
"Aku suka praktek listrik, apalagi kalau belajar bikin sirkuit",SMK Teknologi dan Rekayasa
"Kalau proyek rakit robot, gue sih antusias banget",SMK Teknologi dan Rekayasa
"Aku suka banget belajar teknik industri, seru ngatur proses produksi barang",SMK Teknologi dan Rekayasa
"Kalau belajar teknologi mesin, gue semangat banget",SMK Teknologi dan Rekayasa
Aku pengen tahu lebih dalam tentang sistem jaringan komputer,SMK Teknologi dan Rekayasa
"Kalau pelajaran fisika, aku lebih tertarik yang soal mekanika",SMK Teknologi dan Rekayasa
elajar teknik mesin bikin gue penasaran pengen tahu lebih banyak,SMK Teknologi dan Rekayasa
Aku senang kalau udah mulai proyek praktek tentang mesin,SMK Teknologi dan Rekayasa
"Aku pengen belajar cara buat jaringan LAN, kayaknya keren",SMK Teknologi dan Rekayasa
Aku suka banget kalau ada tugas praktek elektronika,SMK Teknologi dan Rekayasa
"Gue tertarik sama sistem hidrolik, pengen tahu cara kerjanya",SMK Teknologi dan Rekayasa
"Belajar teknik kelistrikan bikin gue semangat, cocok buat masa depan",SMK Teknologi dan Rekayasa
"Aku suka banget kalau belajar mesin, pengen bisa bongkar mesin mobil",SMK Teknologi dan Rekayasa
Belajar teknik bangunan bikin gue ngerti soal struktur bangunan,SMK Teknologi dan Rekayasa
"Aku pengen banget belajar robotik, pengen ngerti cara bikin robot",SMK Teknologi dan Rekayasa
"Gue lebih suka fisika daripada pelajaran lain, apalagi kalau udah belajar soal mesin-mesin",SMK Teknologi dan Rekayasa
Aku suka banget bongkar pasang barang elektronik dan pengin belajar lebih dalam soal mesin dan teknologi,SMK Teknologi dan Rekayasa
"Aku suka banget sama pelajaran teknik dan mesin, pengin belajar lebih dalam cara kerja alat-alat dan teknologi baru",SMK Teknologi dan Rekayasa
gw mau menari dengan anggun kayak film ,SMK Seni dan Industri Kreatif
gua mau mahat patung kayak di spongebob,SMK Seni dan Industri Kreatif
aku mau buat batik yang bagus buat jadi baju sehari hari ,SMK Seni dan Industri Kreatif
saya mau belajar main wayang kayak di tv ,SMK Seni dan Industri Kreatif
gua pengen bisa bikin stage teater bagus ,SMK Seni dan Industri Kreatif
gw mau produksi acara tv harian ,SMK Seni dan Industri Kreatif
saya tertarik belajar menjadi penyiar radio yang biasa nya dalam mobil,SMK Seni dan Industri Kreatif
aku mau buat kerajinan pakek rotan ,SMK Seni dan Industri Kreatif
gua mau buat sepatu kulit yang bagus ,SMK Seni dan Industri Kreatif
saya tertarik membuat dompet kulit,SMK Seni dan Industri Kreatif
gw pengen belajar buat tas kulit untuk keluarga,SMK Seni dan Industri Kreatif
aku suka tali pinggang kulit yang dibeli bapak dan penasaran pembuatannnya ,SMK Seni dan Industri Kreatif
gua pengen buat jaket kulit sendiri yang cocok ,SMK Seni dan Industri Kreatif
saya ingin menata rumah dengan benar ,SMK Seni dan Industri Kreatif
aku mau cari perabotan yang pas untuk rumah kecil,SMK Seni dan Industri Kreatif
gw pengen buat perabotan yang cocok bentuk dan besarnya untuk rumah ,SMK Seni dan Industri Kreatif
gua suka ngegambar furnitur yang unik unik bentuknya ,SMK Seni dan Industri Kreatif
aku pengen ngedekorasi kamarku sendiri tapi secara efektif,SMK Seni dan Industri Kreatif
saya mau belajar ngedesain karakter game ,SMK Seni dan Industri Kreatif
aku pengen buat ilustrasi bagus kayak artis artis favoritku,SMK Seni dan Industri Kreatif
gw mau buat video video menarik untuk tiktok,SMK Seni dan Industri Kreatif
gua pengen belajar nangkap video yang menarik untuk disimpan,SMK Seni dan Industri Kreatif
aku tertarik sama sketsa karikatur kartun,SMK Seni dan Industri Kreatif
"Saya merasa tidak cocok dengan pelajaran sejarah, tapi suka kelas desain grafis dan ilustrasi",SMK Seni dan Industri Kreatif
Fotografi lebih menarik bagi saya daripada teori kimia yang sulit dipahami,SMK Seni dan Industri Kreatif
"Wah, kalau pelajaran seni mah, gua demen banget! Apalagi kalo udah megang kuas",SMK Seni dan Industri Kreatif
Desain grafis itu keren banget sih! Pengin banget jago bikin gambar di komputer,SMK Seni dan Industri Kreatif
"Gue ga begitu suka hitung-hitungan, tapi kalau disuruh gambar, ayo aja",SMK Seni dan Industri Kreatif
"Fisika? Aduh mumet, bro. Tapi kalo udah masuk kelas fotografi, gue semangat lagi",SMK Seni dan Industri Kreatif
"Main musik asyik banget, pengin deh bisa jago main alat musik",SMK Seni dan Industri Kreatif
"Kimia tuh bikin ngantuk, tapi kalo pas pelajaran seni, langsung melek lagi",SMK Seni dan Industri Kreatif
"Nggak tertarik sama biologi, tapi kalo animasi digital, gue seneng banget belajar",SMK Seni dan Industri Kreatif
Gue lebih suka ngelukis di rumah daripada ngafalin rumus fisika,SMK Seni dan Industri Kreatif
"Matematika ga masuk di otak, tapi bikin gambar digital seru banget",SMK Seni dan Industri Kreatif
"Sejarah bikin gua ngantuk, tapi desain grafis itu bikin semangat banget belajar",SMK Seni dan Industri Kreatif
"Fotografi tuh keren, lebih menarik dari teori kimia yang ribet",SMK Seni dan Industri Kreatif
"Kalo main warna-warna di seni asik banget, daripada belajar teori yang susah",SMK Seni dan Industri Kreatif
"Fisika bukan dunia gue, tapi kalo belajar seni patung, malah asik banget",SMK Seni dan Industri Kreatif
"Kalau udah belajar seni, aku langsung semangat! Suka banget main warna-warna",SMK Seni dan Industri Kreatif
Desain grafis itu asik banget! Seru banget bikin gambar digital,SMK Seni dan Industri Kreatif
"Aku kurang suka hitung-hitungan, tapi kalau disuruh gambar atau desain, ayo aja!",SMK Seni dan Industri Kreatif
"Pelajaran fisika kurang menarik, tapi kalau udah belajar fotografi, langsung fokus banget",SMK Seni dan Industri Kreatif
Main musik itu seru banget! Aku pengin bisa jago main alat musik,SMK Seni dan Industri Kreatif
"Kimia bikin ngantuk, tapi kalau kelas seni, aku langsung semangat lagi",SMK Seni dan Industri Kreatif
"Biologi kayaknya bukan buat aku, tapi animasi digital bikin aku tertarik banget",SMK Seni dan Industri Kreatif
Aku lebih suka ngelukis daripada ngafalin rumus-rumus,SMK Seni dan Industri Kreatif
"Teori geografi bikin bosan, tapi kalo prakarya atau seni, aku seneng banget",SMK Seni dan Industri Kreatif
"Sejarah nggak begitu seru, tapi kalau tari, aku betah banget di kelas",SMK Seni dan Industri Kreatif
"Matematika itu bikin pusing, tapi kalau bikin karya seni, asik banget",SMK Seni dan Industri Kreatif
Lebih asik belajar musik dan rekaman daripada ngafal rumus kimia,SMK Seni dan Industri Kreatif
"Gue suka banget ngedesain baju, lebih asik daripada biologi",SMK Seni dan Industri Kreatif
"Bahasa Inggris susah sih, tapi kalau udah pegang pensil buat gambar, lancar aja",SMK Seni dan Industri Kreatif
"Desain produk tuh keren banget, gue pengen belajar bikin desain-desain baru",SMK Seni dan Industri Kreatif
"Matematika bikin mumet, tapi desain grafis mah seru banget",SMK Seni dan Industri Kreatif
Gue lebih suka belajar fotografi daripada fisika,SMK Seni dan Industri Kreatif
"Musik tuh seru, biologi gak semenarik itu buat gue",SMK Seni dan Industri Kreatif
"Lukisan itu keren, gue pengen banget belajar lebih banyak soal seni",SMK Seni dan Industri Kreatif
"Sejarah itu bosenin, tapi kalo seni rupa malah bikin gue betah",SMK Seni dan Industri Kreatif
"Kimia bikin kepala pening, tapi animasi digital itu keren banget",SMK Seni dan Industri Kreatif
"Fisika kurang menarik, tapi seni patung itu keren banget",SMK Seni dan Industri Kreatif
"Desain produk bikin gue semangat, biologi kurang menarik buat gue",SMK Seni dan Industri Kreatif
"Kalo seni mah, gue bisa bereksperimen dengan warna, lebih asik dari teori-teori rumit",SMK Seni dan Industri Kreatif
"Editing video itu keren, pengin bisa bikin video kayak di film-film",SMK Seni dan Industri Kreatif
"Matematika agak ribet, tapi kalau bikin gambar digital, gue betah lama-lama",SMK Seni dan Industri Kreatif
"Aku suka banget ngegambar, rasanya damai aja kalau udah pegang pensil",SMK Seni dan Industri Kreatif
"Desain grafis tuh keren banget, aku pengen jago di bidang ini",SMK Seni dan Industri Kreatif
"Saya selalu semangat kalau pelajaran seni, kayak bisa bebas berekspresi",SMK Seni dan Industri Kreatif
"Aku tertarik banget sama animasi, pengen banget bikin karakter-karakter keren",SMK Seni dan Industri Kreatif
"Kalau udah pegang kuas dan cat, aku betah lama-lama",SMK Seni dan Industri Kreatif
"Gue suka bikin sketsa, pengen jadi ilustrator suatu hari nanti",SMK Seni dan Industri Kreatif
"Kalau disuruh pilih, aku mending belajar desain baju daripada matematika",SMK Seni dan Industri Kreatif
"Aku seneng banget kalau ada tugas prakarya, pengen ngulik hal baru terus",SMK Seni dan Industri Kreatif
"Pelajaran seni tuh kayak punya dunia sendiri, beda banget sama yang lain",SMK Seni dan Industri Kreatif
"Aku pengen banget belajar fotografi, seru banget bisa ngambil gambar bagus",SMK Seni dan Industri Kreatif
"Kalau udah ngomongin warna, langsung fokus banget belajar",SMK Seni dan Industri Kreatif
"Gue pengen belajar bikin musik digital, kayak seru bisa buat lagu sendiri",SMK Seni dan Industri Kreatif
"Seni rupa bikin gue betah di kelas, lebih asik daripada belajar hafalan",SMK Seni dan Industri Kreatif
"Aku suka banget sama film, pengen belajar bikin film pendek",SMK Seni dan Industri Kreatif
"Kalau pelajaran tentang desain produk, aku malah jadi semangat",SMK Seni dan Industri Kreatif
"Aku suka banget kalau bisa ngedit video, kayaknya keren gitu",SMK Seni dan Industri Kreatif
"Belajar animasi bikin gue jadi penasaran, keren banget bisa bikin karakter hidup",SMK Seni dan Industri Kreatif
"Saya suka banget seni rupa, bikin tenang gitu kalau lagi menggambar",SMK Seni dan Industri Kreatif
"Desain interior tuh keren, pengen bisa bikin ruang yang estetik",SMK Seni dan Industri Kreatif
"Kalau ada tugas musik, aku langsung semangat",SMK Seni dan Industri Kreatif
"Aku suka banget bikin ilustrasi digital, apalagi kalau pakai tablet",SMK Seni dan Industri Kreatif
"Pelajaran seni selalu bikin aku semangat, beda sama pelajaran lain",SMK Seni dan Industri Kreatif
Aku pengen bisa jago bikin video animasi kayak yang ada di film-film,SMK Seni dan Industri Kreatif
"Kalau praktek seni, gue bisa fokus sampai lupa waktu",SMK Seni dan Industri Kreatif
"Aku tertarik sama dunia desain grafis, pengen bisa buat logo keren",SMK Seni dan Industri Kreatif
"Aku suka banget ngedit foto, seru aja bisa main-main sama warna",SMK Seni dan Industri Kreatif
"Kalau pelajaran seni musik, gue betah banget belajar alat musik",SMK Seni dan Industri Kreatif
"Gue pengen belajar bikin ilustrasi karakter, seru banget kalau bisa gambar karakter sendiri",SMK Seni dan Industri Kreatif
"Aku suka seni lukis, pengen banget bisa lukis di kanvas besar",SMK Seni dan Industri Kreatif
"Desain fashion itu keren banget, pengen belajar bikin baju sendiri",SMK Seni dan Industri Kreatif
Fotografi bikin aku jadi pengen belajar ambil gambar yang bagus,SMK Seni dan Industri Kreatif
Aku seneng banget kalau belajar tentang seni digital,SMK Seni dan Industri Kreatif
"Seni teater tuh bikin aku semangat, pengen banget bisa akting di panggung",SMK Seni dan Industri Kreatif
"Kalau udah belajar seni patung, aku jadi pengen bikin karya besar",SMK Seni dan Industri Kreatif
Aku suka banget kalo bisa belajar ngedit video,SMK Seni dan Industri Kreatif
"Aku tertarik sama desain interior, pengen bikin ruangan jadi keren",SMK Seni dan Industri Kreatif
"Kalau ada pelajaran musik, gue langsung fokus, beda sama yang lain",SMK Seni dan Industri Kreatif
"Saya pengen banget jago di bidang desain produk, kayaknya keren bikin barang sendiri",SMK Seni dan Industri Kreatif
"Kalau desain grafis, aku semangat banget, seru banget ngerjainnya",SMK Seni dan Industri Kreatif
Aku pengen banget bisa ngedit video kayak Youtuber,SMK Seni dan Industri Kreatif
"Kalau belajar seni lukis, rasanya bisa bebas berekspresi",SMK Seni dan Industri Kreatif
"Aku suka seni rupa, lebih suka daripada pelajaran lain yang teori-teori",SMK Seni dan Industri Kreatif
"Desain produk bikin gue jadi kreatif, pengen belajar lebih banyak",SMK Seni dan Industri Kreatif
"Aku pengen belajar seni digital, kayak seru aja bisa bikin gambar pakai komputer",SMK Seni dan Industri Kreatif
"Pelajaran seni itu asik, gue betah lama-lama di kelas",SMK Seni dan Industri Kreatif
"Aku suka bikin gambar di komputer, pengen banget belajar lebih dalam soal ini",SMK Seni dan Industri Kreatif
Aku pengen belajar animasi biar bisa bikin film kartun sendiri,SMK Seni dan Industri Kreatif
"Kalau ada tugas bikin poster, aku semangat banget ngerjainnya",SMK Seni dan Industri Kreatif
"Belajar desain baju tuh keren, bisa bikin gaya sendiri",SMK Seni dan Industri Kreatif
"Saya suka bikin sketsa karakter, pengen bikin komik sendiri",SMK Seni dan Industri Kreatif
"Aku tertarik banget sama seni teater, pengen belajar akting",SMK Seni dan Industri Kreatif
"Desain interior itu keren, aku pengen bisa bikin rumah jadi estetik",SMK Seni dan Industri Kreatif
"Aku suka main alat musik, pengen banget bisa jago main gitar",SMK Seni dan Industri Kreatif
"Kalau udah belajar seni digital, aku langsung fokus banget",SMK Seni dan Industri Kreatif
Aku pengen jago desain grafis biar bisa bikin logo yang keren,SMK Seni dan Industri Kreatif
Saya suka sekali menggambar dan menghabiskan waktu berkreasi dengan warna,SMK Seni dan Industri Kreatif
Fotografi adalah hobi yang paling saya sukai,SMK Seni dan Industri Kreatif
Membuat desain grafis di komputer adalah kegiatan favorit saya,SMK Seni dan Industri Kreatif
Saya suka menulis naskah drama dan cerita pendek,SMK Seni dan Industri Kreatif
Saya tertarik mempelajari seni peran dan tampil di atas panggung,SMK Seni dan Industri Kreatif
"Pelajaran Seni itu seru, aku suka banget gambar dan bikin karya.",SMK Seni dan Industri Kreatif
"Aku paling suka Seni, apalagi kalau ada tugas gambar",SMK Seni dan Industri Kreatif
aku suka denger musik dan main instrumen ,SMK Seni dan Industri Kreatif
